
THE FULL IAU 2000A NUTATION SERIES DATA - 1365 TERMS

The i column is NOT part of the actual data.  It is the reference index number
of the nutation series terms to which the subsequent 20 data elements apply.

=====================================================================================================================================================
                      FUNDAMENTAL ARGUMENT MULTIPLIERS                         LONGITUDE COMPONENTS IN ARC SEC      OBLIQUITY COMPONENTS IN ARC SEC
i    m01  m02  m03  m04  m05  m06  m07  m08  m09  m10  m11  m12  m13  m14        AA           BB          CC          DD           EE          FF
1      0    0    0    0    0    0    0    0    0    0    0    0    0    1   -17.2064161  -0.0174666   0.0033386    9.2052331   0.0009086   0.0015377
2      0    0    0    0    0    0    0    0    0    0    0    2   -2    2    -1.3170906  -0.0001675  -0.0013696    0.5730336  -0.0003015  -0.0004587
3      0    0    0    0    0    0    0    0    0    0    0    2    0    2    -0.2276413  -0.0000234   0.0002796    0.0978459  -0.0000485   0.0001374
4      0    0    0    0    0    0    0    0    0    0    0    0    0    2     0.2074554   0.0000207  -0.0000698   -0.0897492   0.0000470  -0.0000291
5      0    0    0    0    0    0    0    0    0    0    1    0    0    0     0.1475877  -0.0003633   0.0011817    0.0073871  -0.0000184  -0.0001924
6      0    0    0    0    0    0    0    0    0    0    1    2   -2    2    -0.0516821   0.0001226  -0.0000524    0.0224386  -0.0000677  -0.0000174
7      0    0    0    0    0    0    0    0    0    1    0    0    0    0     0.0711159   0.0000073  -0.0000872   -0.0006750   0.0         0.0000358
8      0    0    0    0    0    0    0    0    0    0    0    2    0    1    -0.0387298  -0.0000367   0.0000380    0.0200728   0.0000018   0.0000318
9      0    0    0    0    0    0    0    0    0    1    0    2    0    2    -0.0301461  -0.0000036   0.0000816    0.0129025  -0.0000063   0.0000367
10     0    0    0    0    0    0    0    0    0    0   -1    2   -2    2     0.0215829  -0.0000494   0.0000111   -0.0095929   0.0000299   0.0000132
11     0    0    0    0    0    0    0    0    0    0    0    2   -2    1     0.0128227   0.0000137   0.0000181   -0.0068982  -0.0000009   0.0000039
12     0    0    0    0    0    0    0    0    0   -1    0    2    0    2     0.0123457   0.0000011   0.0000019   -0.0053311   0.0000032  -0.0000004
13     0    0    0    0    0    0    0    0    0   -1    0    0    2    0     0.0156994   0.0000010  -0.0000168   -0.0001235   0.0         0.0000082
14     0    0    0    0    0    0    0    0    0    1    0    0    0    1     0.0063110   0.0000063   0.0000027   -0.0033228   0.0        -0.0000009
15     0    0    0    0    0    0    0    0    0   -1    0    0    0    1    -0.0057976  -0.0000063  -0.0000189    0.0031429   0.0        -0.0000075
16     0    0    0    0    0    0    0    0    0   -1    0    2    2    2    -0.0059641  -0.0000011   0.0000149    0.0025543  -0.0000011   0.0000066
17     0    0    0    0    0    0    0    0    0    1    0    2    0    1    -0.0051613  -0.0000042   0.0000129    0.0026366   0.0         0.0000078
18     0    0    0    0    0    0    0    0    0   -2    0    2    0    1     0.0045893   0.0000050   0.0000031   -0.0024236  -0.0000010   0.0000020
19     0    0    0    0    0    0    0    0    0    0    0    0    2    0     0.0063384   0.0000011  -0.0000150   -0.0001220   0.0         0.0000029
20     0    0    0    0    0    0    0    0    0    0    0    2    2    2    -0.0038571  -0.0000001   0.0000158    0.0016452  -0.0000011   0.0000068
21     0    0    0    0    0    0    0    0    0    0   -2    2   -2    2     0.0032481   0.0         0.0         -0.0013870   0.0         0.0
22     0    0    0    0    0    0    0    0    0   -2    0    0    2    0    -0.0047722   0.0        -0.0000018    0.0000477   0.0        -0.0000025
23     0    0    0    0    0    0    0    0    0    2    0    2    0    2    -0.0031046  -0.0000001   0.0000131    0.0013238  -0.0000011   0.0000059
24     0    0    0    0    0    0    0    0    0    1    0    2   -2    2     0.0028593   0.0        -0.0000001   -0.0012338   0.0000010  -0.0000003
25     0    0    0    0    0    0    0    0    0   -1    0    2    0    1     0.0020441   0.0000021   0.0000010   -0.0010758   0.0        -0.0000003
26     0    0    0    0    0    0    0    0    0    2    0    0    0    0     0.0029243   0.0        -0.0000074   -0.0000609   0.0         0.0000013
27     0    0    0    0    0    0    0    0    0    0    0    2    0    0     0.0025887   0.0        -0.0000066   -0.0000550   0.0         0.0000011
28     0    0    0    0    0    0    0    0    0    0    1    0    0    1    -0.0014053  -0.0000025   0.0000079    0.0008551  -0.0000002  -0.0000045
29     0    0    0    0    0    0    0    0    0   -1    0    0    2    1     0.0015164   0.0000010   0.0000011   -0.0008001   0.0        -0.0000001
30     0    0    0    0    0    0    0    0    0    0    2    2   -2    2    -0.0015794   0.0000072  -0.0000016    0.0006850  -0.0000042  -0.0000005
31     0    0    0    0    0    0    0    0    0    0    0   -2    2    0     0.0021783   0.0         0.0000013   -0.0000167   0.0         0.0000013
32     0    0    0    0    0    0    0    0    0    1    0    0   -2    1    -0.0012873  -0.0000010  -0.0000037    0.0006953   0.0        -0.0000014
33     0    0    0    0    0    0    0    0    0    0   -1    0    0    1    -0.0012654   0.0000011   0.0000063    0.0006415   0.0         0.0000026
34     0    0    0    0    0    0    0    0    0   -1    0    2    2    1    -0.0010204   0.0         0.0000025    0.0005222   0.0         0.0000015
35     0    0    0    0    0    0    0    0    0    0    2    0    0    0     0.0016707  -0.0000085  -0.0000010    0.0000168  -0.0000001   0.0000010
36     0    0    0    0    0    0    0    0    0    1    0    2    2    2    -0.0007691   0.0         0.0000044    0.0003268   0.0         0.0000019
37     0    0    0    0    0    0    0    0    0   -2    0    2    0    0    -0.0011024   0.0        -0.0000014    0.0000104   0.0         0.0000002
38     0    0    0    0    0    0    0    0    0    0    1    2    0    2     0.0007566  -0.0000021  -0.0000011   -0.0003250   0.0        -0.0000005
39     0    0    0    0    0    0    0    0    0    0    0    2    2    1    -0.0006637  -0.0000011   0.0000025    0.0003353   0.0         0.0000014
40     0    0    0    0    0    0    0    0    0    0   -1    2    0    2    -0.0007141   0.0000021   0.0000008    0.0003070   0.0         0.0000004
41     0    0    0    0    0    0    0    0    0    0    0    0    2    1    -0.0006302  -0.0000011   0.0000002    0.0003272   0.0         0.0000004
42     0    0    0    0    0    0    0    0    0    1    0    2   -2    1     0.0005800   0.0000010   0.0000002   -0.0003045   0.0        -0.0000001
43     0    0    0    0    0    0    0    0    0    2    0    2   -2    2     0.0006443   0.0        -0.0000007   -0.0002768   0.0        -0.0000004
44     0    0    0    0    0    0    0    0    0   -2    0    0    2    1    -0.0005774  -0.0000011  -0.0000015    0.0003041   0.0        -0.0000005
45     0    0    0    0    0    0    0    0    0    2    0    2    0    1    -0.0005350   0.0         0.0000021    0.0002695   0.0         0.0000012
46     0    0    0    0    0    0    0    0    0    0   -1    2   -2    1    -0.0004752  -0.0000011  -0.0000003    0.0002719   0.0        -0.0000003
47     0    0    0    0    0    0    0    0    0    0    0    0   -2    1    -0.0004940  -0.0000011  -0.0000021    0.0002720   0.0        -0.0000009
48     0    0    0    0    0    0    0    0    0   -1   -1    0    2    0     0.0007350   0.0        -0.0000008   -0.0000051   0.0         0.0000004
49     0    0    0    0    0    0    0    0    0    2    0    0   -2    1     0.0004065   0.0         0.0000006   -0.0002206   0.0         0.0000001
50     0    0    0    0    0    0    0    0    0    1    0    0    2    0     0.0006579   0.0        -0.0000024   -0.0000199   0.0         0.0000002
51     0    0    0    0    0    0    0    0    0    0    1    2   -2    1     0.0003579   0.0         0.0000005   -0.0001900   0.0         0.0000001
52     0    0    0    0    0    0    0    0    0    1   -1    0    0    0     0.0004725   0.0        -0.0000006   -0.0000041   0.0         0.0000003
53     0    0    0    0    0    0    0    0    0   -2    0    2    0    2    -0.0003075   0.0        -0.0000002    0.0001313   0.0        -0.0000001
54     0    0    0    0    0    0    0    0    0    3    0    2    0    2    -0.0002904   0.0         0.0000015    0.0001233   0.0         0.0000007
55     0    0    0    0    0    0    0    0    0    0   -1    0    2    0     0.0004348   0.0        -0.0000010   -0.0000081   0.0         0.0000002
56     0    0    0    0    0    0    0    0    0    1   -1    2    0    2    -0.0002878   0.0         0.0000008    0.0001232   0.0         0.0000004
57     0    0    0    0    0    0    0    0    0    0    0    0    1    0    -0.0004230   0.0         0.0000005   -0.0000020   0.0        -0.0000002
58     0    0    0    0    0    0    0    0    0   -1   -1    2    2    2    -0.0002819   0.0         0.0000007    0.0001207   0.0         0.0000003
59     0    0    0    0    0    0    0    0    0   -1    0    2    0    0    -0.0004056   0.0         0.0000005    0.0000040   0.0        -0.0000002
60     0    0    0    0    0    0    0    0    0    0   -1    2    2    2    -0.0002647   0.0         0.0000011    0.0001129   0.0         0.0000005
61     0    0    0    0    0    0    0    0    0   -2    0    0    0    1    -0.0002294   0.0        -0.0000010    0.0001266   0.0        -0.0000004
62     0    0    0    0    0    0    0    0    0    1    1    2    0    2     0.0002481   0.0        -0.0000007   -0.0001062   0.0        -0.0000003
63     0    0    0    0    0    0    0    0    0    2    0    0    0    1     0.0002179   0.0        -0.0000002   -0.0001129   0.0        -0.0000002
64     0    0    0    0    0    0    0    0    0   -1    1    0    1    0     0.0003276   0.0         0.0000001   -0.0000009   0.0         0.0
65     0    0    0    0    0    0    0    0    0    1    1    0    0    0    -0.0003389   0.0         0.0000005    0.0000035   0.0        -0.0000002
66     0    0    0    0    0    0    0    0    0    1    0    2    0    0     0.0003339   0.0        -0.0000013   -0.0000107   0.0         0.0000001
67     0    0    0    0    0    0    0    0    0   -1    0    2   -2    1    -0.0001987   0.0        -0.0000006    0.0001073   0.0        -0.0000002
68     0    0    0    0    0    0    0    0    0    1    0    0    0    2    -0.0001981   0.0         0.0          0.0000854   0.0         0.0
69     0    0    0    0    0    0    0    0    0   -1    0    0    1    0     0.0004026   0.0        -0.0000353   -0.0000553   0.0        -0.0000139
70     0    0    0    0    0    0    0    0    0    0    0    2    1    2     0.0001660   0.0        -0.0000005   -0.0000710   0.0        -0.0000002
71     0    0    0    0    0    0    0    0    0   -1    0    2    4    2    -0.0001521   0.0         0.0000009    0.0000647   0.0         0.0000004
72     0    0    0    0    0    0    0    0    0   -1    1    0    1    1     0.0001314   0.0         0.0         -0.0000700   0.0         0.0
