Bengkulu,3,48,1,102,15,33,0,1,7,10,0,1010,10,60,0.0065
Mukomuko,2,34,41,101,7,3,0,1,7,10,0,1010,10,60,0.0065
Arga Makmur,3,26,25,102,11,50,0,1,7,10,0,1010,10,60,0.0065
Muara Aman,3,7,12,102,11,59,0,1,7,10,0,1010,10,60,0.0065
Karang Tinggi,3,44,48,102,25,30,0,1,7,10,0,1010,10,60,0.0065
Curup,3,28,45,102,31,33,0,1,7,10,0,1010,10,60,0.0065
Kepahiang,3,38,29,102,34,28,0,1,7,10,0,1010,10,60,0.0065
Tais,4,4,30,102,35,9,0,1,7,10,0,1010,10,60,0.0065
Kota Manna,4,27,21,102,54,23,0,1,7,10,0,1010,10,60,0.0065
Bintuhan,4,47,6,103,20,42,0,1,7,10,0,1010,10,60,0.0065
