Pekan baru,0,31,36,101,27,3,1,1,7,10,0,1010,10,60,0.0065
Pasir Pengaraian,0,53,46,100,18,30,1,1,7,10,0,1010,10,60,0.0065
Bagan Siapi-api,2,9,42,100,48,11,1,1,7,10,0,1010,10,60,0.0065
Bangkinang,0,20,49,101,1,39,1,1,7,10,0,1010,10,60,0.0065
Dumai,1,34,52,101,23,10,1,1,7,10,0,1010,10,60,0.0065
Teluk Kuantan,0,31,17,101,32,5,0,1,7,10,0,1010,10,60,0.0065
Pangkalan Kerinci,0,24,6,101,51,28,1,1,7,10,0,1010,10,60,0.0065
Siak Sri Indrapura,0,48,44,102,1,44,1,1,7,10,0,1010,10,60,0.0065
Bengkalis,1,28,15,102,6,23,1,1,7,10,0,1010,10,60,0.0065
Rengat,0,23,27,102,26,25,0,1,7,10,0,1010,10,60,0.0065
Selat Panjang,1,0,52,102,42,47,1,1,7,10,0,1010,10,60,0.0065
Tembilahan,0,19,46,103,9,24,0,1,7,10,0,1010,10,60,0.0065
