Manado,1,29,16,124,50,36,1,1,8,10,0,1010,10,60,0.0065
Boroko,0,54,24,123,15,55,1,1,8,10,0,1010,10,60,0.0065
Bolaang Uki,0,22,55,123,59,4,1,1,8,10,0,1010,10,60,0.0065
Lolak,0,52,33,124,0,40,1,1,8,10,0,1010,10,60,0.0065
Kotamobagu,0,44,15,124,18,59,1,1,8,10,0,1010,10,60,0.0065
Amurang,1,11,2,124,34,9,1,1,8,10,0,1010,10,60,0.0065
Tutuyan,0,45,51,124,36,53,1,1,8,10,0,1010,10,60,0.0065
Ratahan,1,3,17,124,48,6,1,1,8,10,0,1010,10,60,0.0065
Tomohon,1,19,9,124,50,16,1,1,8,10,0,1010,10,60,0.0065
Tondano,1,17,47,124,54,48,1,1,8,10,0,1010,10,60,0.0065
Airmadidi,1,25,46,124,58,35,1,1,8,10,0,1010,10,60,0.0065
Bitung,1,26,5,125,7,47,1,1,8,10,0,1010,10,60,0.0065
Ondong Siau,2,44,32,125,21,38,1,1,8,10,0,1010,10,60,0.0065
Tahuna,3,36,32,125,29,17,1,1,8,10,0,1010,10,60,0.0065
Melonguane,4,0,21,126,40,38,1,1,8,10,0,1010,10,60,0.0065
