Abha,18,12,53,42,29,36,1,1,3,2250,0,1010,10,60,0.0065
Abu Arish,16,58,1,42,49,31,1,1,3,70,0,1010,10,60,0.0065
Alras,25,52,6,43,29,23,1,1,3,700,0,1010,10,60,0.0065
Arar,30,59,8,41,1,13,1,1,3,540,0,1010,10,60,0.0065
Baha,20,0,20,41,27,8,1,1,3,2180,0,1010,10,60,0.0065
Baish,17,22,24,42,31,48,1,1,3,80,0,1010,10,60,0.0065
Barzayn,18,12,11,42,48,13,1,1,3,2080,0,1010,10,60,0.0065
Bisha,20,0,1,42,35,53,1,1,3,1170,0,1010,10,60,0.0065
Bukayriyah,26,8,29,43,39,5,1,1,3,670,0,1010,10,60,0.0065
Buqayq,25,56,1,49,39,15,1,1,3,100,0,1010,10,60,0.0065
Buraydah,26,20,16,43,57,26,1,1,3,610,0,1010,10,60,0.0065
Dammam,26,25,46,50,3,55,1,1,3,10,0,1010,10,60,0.0065
Dawadimi,24,30,3,44,22,20,1,1,3,990,0,1010,10,60,0.0065
Dhahran,26,17,16,50,6,44,1,1,3,50,0,1010,10,60,0.0065
Fegrah,24,19,44,38,56,9,1,1,3,1904,0,1010,10,60,0.0065
Hafar Al-Batin,28,26,2,45,57,42,1,1,3,320,0,1010,10,60,0.0065
Hail,27,31,26,41,40,29,1,1,3,1020,0,1010,10,60,0.0065
Halet Ammar,29,9,39,36,4,25,1,1,3,720,0,1010,10,60,0.0065
Hanidh,26,34,39,48,37,53,1,1,3,120,0,1010,10,60,0.0065
Hawtit Sudear,25,35,51,45,36,51,1,1,3,730,0,1010,10,60,0.0065
Hofuf,25,22,53,49,34,19,1,1,3,160,0,1010,10,60,0.0065
Jeddah,21,33,7,39,6,50,1,1,3,30,0,1010,10,60,0.0065
Jizan,16,53,28,42,32,30,1,1,3,20,0,1010,10,60,0.0065
Jouf,29,47,23,40,6,1,1,1,3,680,0,1010,10,60,0.0065
Jubail,26,59,53,49,38,59,1,1,3,20,0,1010,10,60,0.0065
Khamasin,20,27,58,44,47,53,1,1,3,690,0,1010,10,60,0.0065
Khamis Mushait,18,18,48,42,41,53,1,1,3,2020,0,1010,10,60,0.0065
Khobar,26,17,4,50,11,42,1,1,3,30,0,1010,10,60,0.0065
Madinah,24,28,6,39,36,40,1,1,3,609,0,1010,10,60,0.0065
Majmaah,25,54,29,45,21,3,1,1,3,720,0,1010,10,60,0.0065
Makkah,21,25,22,39,49,31,1,1,3,304,0,1010,10,60,0.0065
Musayjid,24,5,9,39,5,36,1,1,3,460,0,1010,10,60,0.0065
Najran,17,32,20,44,12,47,1,1,3,1300,0,1010,10,60,0.0065
Qaisumah,28,18,32,46,7,9,1,1,3,370,0,1010,10,60,0.0065
Qaryat Al-Ulia,27,33,38,47,41,53,1,1,3,180,0,1010,10,60,0.0065
Qassim,26,20,56,43,46,3,1,1,3,670,0,1010,10,60,0.0065
Qatif,26,33,32,49,59,44,1,1,3,20,0,1010,10,60,0.0065
Qrayyat,31,20,3,37,19,54,1,1,3,500,0,1010,10,60,0.0065
Rabigh,22,47,56,39,1,48,1,1,3,10,0,1010,10,60,0.0065
Rafha,29,38,3,43,30,22,1,1,3,450,0,1010,10,60,0.0065
Ranyah,21,15,21,42,50,37,1,1,3,930,0,1010,10,60,0.0065
Ras Tunnurah,26,42,21,50,3,21,1,1,3,20,0,1010,10,60,0.0065
Riyadh,24,42,28,46,41,22,1,1,3,610,0,1010,10,60,0.0065
Sakakah,29,57,46,40,11,40,1,1,3,570,0,1010,10,60,0.0065
Shaqra,25,14,13,45,14,47,1,1,3,730,0,1010,10,60,0.0065
Sharurah,17,29,48,47,6,12,1,1,3,730,0,1010,10,60,0.0065
Sudear,25,36,0,45,37,8,1,1,3,700,0,1010,10,60,0.0065
Tabuk,28,24,22,36,32,32,1,1,3,770,0,1010,10,60,0.0065
Taif,21,16,6,40,24,8,1,1,3,1700,0,1010,10,60,0.0065
Tayma,27,37,8,38,31,19,1,1,3,840,0,1010,10,60,0.0065
Turaif,31,40,34,38,38,53,1,1,3,840,0,1010,10,60,0.0065
Umlaj,25,2,13,37,15,16,1,1,3,20,0,1010,10,60,0.0065
Unayzah,26,5,47,43,59,5,1,1,3,660,0,1010,10,60,0.0065
Wajh,26,14,49,36,26,50,1,1,3,30,0,1010,10,60,0.0065
Yanbo,24,5,15,38,2,44,1,1,3,20,0,1010,10,60,0.0065
